season,source_type,ref,file,rows
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-002,team_game_treb,192
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-002,player_game_treb_on,2037
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-003,team_game_treb,200
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-003,player_game_treb_on,2104
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-004,team_game_treb,190
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-004,player_game_treb_on,1989
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-005,team_game_treb,194
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-005,player_game_treb_on,2034
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-006,team_game_treb,194
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-006,player_game_treb_on,2012
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-007,team_game_treb,192
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-007,player_game_treb_on,1982
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-008,team_game_treb,194
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-008,player_game_treb_on,2013
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-009,team_game_treb,178
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-009,player_game_treb_on,1841
2011-12,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,team_game_treb,38
2011-12,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,player_game_treb_on,396
2011-12,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,team_game_treb,26
2011-12,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,player_game_treb_on,259
